FID,MEASID,TimeStamp,Time,Site,LonBase,LatBase,Dist1__ft_,Dist2_Y,Dir1_X,Dir2_Y,LonPoint,LatPoint,Soil_Sat__,ID,Zone,Notes,Veg_Orig,Veg,Trip,Record_in,Lat_from_T,Longitude,Period___u,Attenuatio,Permittivi,Probe_Mode,F27,1973_raste,2014_raste,aspect,tpi_300m,flow_acc_d,slope_deg,Elevation,Fire_Year_,Fire_Num,Fire_Max_S,RASTERVALU
1908,497.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,150.000000000000000,-5.000000000000000,N,E,-118.688395999999997,36.712918000000002,21.430000000000000,1783.000000000000000,ZONE 00076,WPT 696,"Conifer, PICO",mixed conifer,2016_Early,2816.000000000000000, , , , , , , ,4.0000000,2.0000000,146.9709930,-2,875.0000000,3.7577200,2404.0000000,2003,1,3,225.662386199999986
1909,484.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,115.000000000000000,5.000000000000000,N,E,-118.688395000000000,36.712819000000003,13.880000000000001,1329.000000000000000,[No GPS Lock],tallest PICO in area,"Conifer, PICO",mixed conifer,2016_Early,2820.000000000000000, , , , , , , ,4.0000000,2.0000000,149.6170044,-3,95.0000000,3.8139300,2403.4299316,2003,1,3,231.979997290000000
1910,486.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,120.000000000000000,5.000000000000000,N,E,-118.688391999999993,36.712833000000003,14.359999999999999,1329.000000000000000,[No GPS Lock],14.36,"Conifer, PICO",mixed conifer,2016_Early,2819.000000000000000, , , , , , , ,4.0000000,2.0000000,149.6170044,-3,95.0000000,3.8139300,2403.4299316,2003,1,3,230.798373090000013
1911,488.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,125.000000000000000,5.000000000000000,N,E,-118.688389000000001,36.712848000000001,19.980000000000000,1329.000000000000000,[No GPS Lock],19.98,"Conifer, PICO",mixed conifer,2016_Early,2818.000000000000000, , , , , , , ,4.0000000,2.0000000,149.6170044,-3,95.0000000,3.8139300,2403.4299316,2003,1,3,229.614502119999997
1912,490.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,130.000000000000000,5.000000000000000,N,E,-118.688387000000006,36.712862000000001,16.020000000000000,1329.000000000000000,[No GPS Lock],16.02,"Conifer, PICO",mixed conifer,2016_Early,2817.000000000000000, , , , , , , ,4.0000000,2.0000000,149.6170044,-3,95.0000000,3.8139300,2403.4299316,2003,1,3,228.438123590000004
1913,492.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,135.000000000000000,5.000000000000000,N,E,-118.688383999999999,36.712876000000001,19.930000000000000,1329.000000000000000,[No GPS Lock],19.93,"Conifer, PICO",mixed conifer,2016_Early,2816.000000000000000, , , , , , , ,4.0000000,2.0000000,146.9709930,-2,875.0000000,3.7577200,2404.0000000,2003,1,3,227.249800649999997
1914,494.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,140.000000000000000,5.000000000000000,N,E,-118.688381000000007,36.712890000000002,19.539999999999999,1329.000000000000000,[No GPS Lock],19.54,"Conifer, PICO",mixed conifer,2016_Early,2815.000000000000000, , , , , , , ,4.0000000,2.0000000,146.9709930,-2,875.0000000,3.7577200,2404.0000000,2003,1,3,226.059230930000012
1915,496.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,145.000000000000000,5.000000000000000,N,E,-118.688378999999998,36.712904000000002,12.949999999999999,1329.000000000000000,[No GPS Lock],12.95,"Conifer, PICO",mixed conifer,2016_Early,2814.000000000000000, , , , , , , ,4.0000000,2.0000000,146.9709930,-2,875.0000000,3.7577200,2404.0000000,2003,1,3,224.876278469999988
1916,498.000000000000000,5/31/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,150.000000000000000,5.000000000000000,N,E,-118.688376000000005,36.712918000000002,10.910000000000000,1329.000000000000000,[No GPS Lock],WPT 695,"Conifer, PICO",mixed conifer,2016_Early,2813.000000000000000, , , , , , , ,4.0000000,2.0000000,146.9709930,-2,875.0000000,3.7577200,2404.0000000,2003,1,3,223.681256780000012
1917,1666.000000000000000,7/25/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,150.000000000000000,-5.000000000000000,S,E,-118.688469999999995,36.712508999999997,16.609999999999999,1329.000000000000000,[No GPS Lock],WPT 971; meadow,Wet Meadow,dense meadow,2016_Late,4124.000000000000000,497, , , , , , ,6.0000000,6.0000000,141.2359924,-4,83.0000000,3.2480600,2402.0300293,2003,1,3,259.522509360000015
1918,1665.000000000000000,7/25/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,145.000000000000000,-5.000000000000000,S,E,-118.688467000000003,36.712522999999997,15.480000000000000,1329.000000000000000,[No GPS Lock],meadow,Wet Meadow,dense meadow,2016_Late,4123.000000000000000,495, , , , , , ,6.0000000,6.0000000,141.2359924,-4,83.0000000,3.2480600,2402.0300293,2003,1,3,258.351578720000020
1919,1664.000000000000000,7/25/2016 0:00:00,12/30/1899 0:00:00,0.000000000000000, , ,140.000000000000000,-5.000000000000000,S,E,-118.688464999999994,36.712536000000000,25.079999999999998,1329.000000000000000,[No GPS Lock],meadow,Wet Meadow,dense meadow,2016_Late,4122.000000000000000,493, , , , , , ,6.0000000,6.0000000,141.2359924,-4,83.0000000,3.2480600,2402.0300293,2003,1,3,257.192615300000000
